trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.75, 'e': 0.2399924795841344}",25,14,22.563063294793125,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.75, 'e': 0.23759255478829303}",30,23,1.6489276301977407,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.75, 'e': 0.23521662924041012}",25,17,-27.90104675042248,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.75, 'e': 0.232864462948006}",20,6,20.82674849374392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.75, 'e': 0.23053581831852593}",25,11,-18.04787516753858,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
147,False,"{'a': 0.75, 'e': 0.22823046013534068}",20,6,-27.840445038506942,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.75, 'e': 0.22594815553398728}",25,18,13.766539873715885,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.75, 'e': 0.2236886739786474}",25,6,-31.564668148142534,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
150,False,"{'a': 0.75, 'e': 0.22145178723886091}",25,3,1.5961239031558785,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.75, 'e': 0.2192372693664723}",20,2,13.967292601541242,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.75, 'e': 0.21704489667280757}",20,0,-85.68392403360698,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
153,False,"{'a': 0.75, 'e': 0.2148744477060795}",20,7,8.865355629235747,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.75, 'e': 0.2127257032290187}",20,9,-18.543497852008645,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.75, 'e': 0.21059844619672852}",20,3,-18.82004849377669,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
